datetime,atp,wtp
10-08-2012 1200,16.9,21.4
10-08-2012 1300,15.9,21.1
10-08-2012 1400,15.4,20.8
10-08-2012 1500,15.7,20.7
10-08-2012 1600,16.2,20.7
10-08-2012 1700,16.5,20.7
10-08-2012 1800,16.7,20.9
10-08-2012 1900,17.3,21.1
10-08-2012 2000,18.1,21.2
10-08-2012 2100,18.7,21.3
10-08-2012 2200,19,21.6
10-08-2012 2300,19.5,21.9
10-09-2012 0000,19.7,22.1
10-09-2012 0100,20.2,22.2
10-09-2012 0200,20.5,22.2
10-09-2012 0300,20.8,22.2
10-09-2012 0400,20.1,22.1
10-09-2012 0500,19.9,22
10-09-2012 0600,20.2,21.9
10-09-2012 0700,20.7,21.8
10-09-2012 0800,23.1,21.8
10-09-2012 0900,24,21.8
10-09-2012 1000,24.4,21.7
10-09-2012 1100,24.7,21.7
10-09-2012 1200,24.3,21.8
10-09-2012 1300,24.7,21.7
10-09-2012 1400,25.5,21.7
10-09-2012 1500,22.5,21.8
10-09-2012 1600,26.2,21.9
10-09-2012 1700,26.9,22.1
10-09-2012 1800,27,22.4
10-09-2012 1900,27.2,22.8
10-09-2012 2000,27.1,23.4
10-09-2012 2100,27.1,23.8
10-09-2012 2200,27,24.2
10-09-2012 2300,26.9,24.5
10-10-2012 0000,26.3,24.8
10-10-2012 0100,26.1,25
10-10-2012 0200,25.9,25
10-10-2012 0300,25.9,25
10-10-2012 0400,26,25
10-10-2012 0500,26,25
10-10-2012 0600,26.2,24.9
10-10-2012 0700,26.1,24.9
10-10-2012 0800,26.1,24.8
10-10-2012 0900,26.1,24.7
10-10-2012 1000,26.1,24.6
10-10-2012 1100,25.9,24.5
10-10-2012 1200,25.6,24.5
10-10-2012 1300,25.5,24.4
10-10-2012 1400,24.4,24.4
10-10-2012 1500,27.7,24.4
10-10-2012 1600,28.3,24.6
10-10-2012 1700,28.5,24.8
10-10-2012 1800,28.6,25.2
10-10-2012 1900,28.7,25.6
10-10-2012 2000,28.8,26.1
10-10-2012 2100,28.3,26.6
10-10-2012 2200,28.2,27.1
10-10-2012 2300,26.7,27.6
10-11-2012 0000,26.5,28.1
10-11-2012 0100,26.6,28.4
10-11-2012 0200,26.7,28.5
10-11-2012 0300,27.1,28.6
10-11-2012 0400,26.8,28.6
10-11-2012 0500,26.7,28.5
10-11-2012 0600,26.9,28.2
10-11-2012 0700,26.7,27.9
10-11-2012 0800,26.8,27.6
10-11-2012 0900,26.7,27.4
10-11-2012 1000,26.7,27.2
10-11-2012 1100,26.6,27
10-11-2012 1200,26.6,26.9
10-11-2012 1300,24.9,26.7
10-11-2012 1400,24.9,26.6
10-11-2012 1500,26.7,26.5
10-11-2012 1600,27.6,26.4
10-11-2012 1700,28.4,26.5
10-11-2012 1800,28.5,26.7
10-11-2012 1900,28.6,27
10-11-2012 2000,28.6,27.4
10-11-2012 2100,28.4,27.8
10-11-2012 2200,28.4,28.1
10-11-2012 2300,27.9,27.8
10-12-2012 0000,27.1,28.5
10-12-2012 0100,26.8,28.6
10-12-2012 0200,26.8,28.5
10-12-2012 0300,26.7,28.4
10-12-2012 0400,26.5,28.2
10-12-2012 0500,26.6,28
10-12-2012 0600,26.5,27.8
10-12-2012 0700,26.5,27.7
10-12-2012 0800,26.2,27.6
10-12-2012 0900,26.1,27.4
10-12-2012 1000,26.2,27.3
10-12-2012 1100,26,27.1
10-12-2012 1200,25.9,26.9
10-12-2012 1300,26.3,26.8
10-12-2012 1400,27.5,26.7
10-12-2012 1500,27.9,26.7
10-12-2012 1600,28,26.9
10-12-2012 1700,28.5,27.1
10-12-2012 1800,28.7,27.4
10-12-2012 1900,28.7,27.9
10-12-2012 2000,28.5,28.2
10-12-2012 2100,28.6,28.7
10-12-2012 2200,28.4,29
10-12-2012 2300,27.8,29.2
10-13-2012 0000,27.5,29.2
10-13-2012 0100,27.3,29.1
10-13-2012 0200,27.3,29.1
10-13-2012 0300,27.3,29
10-13-2012 0400,27.1,28.9
10-13-2012 0500,27.2,28.7
10-13-2012 0600,26.9,28.6
10-13-2012 0700,26.9,28.5
10-13-2012 0800,26.9,28.4
10-13-2012 0900,26.7,28.2
10-13-2012 1000,26.7,28
10-13-2012 1100,26.7,27.8
10-13-2012 1200,26.6,27.7
10-13-2012 1300,26.8,27.4
10-13-2012 1400,27.6,27.4
10-13-2012 1500,28.1,27.3
10-13-2012 1600,28.4,27.4
10-13-2012 1700,28.6,27.7
10-13-2012 1800,28.7,28
10-13-2012 1900,28.6,28.3
10-13-2012 2000,28.6,28.6
10-13-2012 2100,28.7,28.9
10-13-2012 2200,28.5,29.2
10-13-2012 2300,28.3,29.4
10-14-2012 0000,27.7,29.5
10-14-2012 0100,27.7,29.4
10-14-2012 0200,27.5,29.3
10-14-2012 0300,27.5,29.1
10-14-2012 0400,27.4,28.9
10-14-2012 0500,27.4,28.7
10-14-2012 0600,27.4,28.4
10-14-2012 0700,27.5,28.2
10-14-2012 0800,27.3,28.1
10-14-2012 0900,27.1,27.9
10-14-2012 1000,27.2,27.9
10-14-2012 1100,27.1,27.8
10-14-2012 1200,27,27.7
10-14-2012 1300,27,27.6
10-14-2012 1400,27.7,27.6
10-14-2012 1500,28.2,27.6
10-14-2012 1600,28.3,27.6
10-14-2012 1700,28.4,27.8
10-14-2012 1800,28.3,28.1
10-14-2012 1900,28.4,28.2
10-14-2012 2000,28.5,28.5
10-14-2012 2100,28.4,28.7
10-14-2012 2200,28.3,28.9
10-14-2012 2300,27.9,29
10-15-2012 0000,27.4,29
10-15-2012 0100,26.7,29
10-15-2012 0200,26.8,28.9
10-15-2012 0300,26.8,28.8
10-15-2012 0400,26.9,28.7
10-15-2012 0500,26.6,28.5
10-15-2012 0600,26.4,28.4
10-15-2012 0700,26.9,28.3
10-15-2012 0800,25.8,28.2
10-15-2012 0900,25.4,28
10-15-2012 1000,25.3,27.9
