datetime,atp,wtp
11-02-2012 2300,25.8,26.2
11-03-2012 0000,25.2,26.3
11-03-2012 0100,25,26.3
11-03-2012 0200,25,26.3
11-03-2012 0300,25.1,26.2
11-03-2012 0400,24.9,26.1
11-03-2012 0500,24.8,25.9
11-03-2012 0600,24.7,25.8
11-03-2012 0700,24.6,25.6
11-03-2012 0800,24.2,25.5
11-03-2012 0900,24,25.4
11-03-2012 1000,23.8,25.3
11-03-2012 1100,23.6,25.2
11-03-2012 1200,23.4,25.1
11-03-2012 1300,23.4,25.1
11-03-2012 1400,24.5,25
11-03-2012 1500,25.7,25
11-03-2012 1600,26.3,25.1
11-03-2012 1700,26.4,25.3
11-03-2012 1800,26.4,25.6
11-03-2012 1900,26.8,25.9
11-03-2012 2000,26.9,26.3
11-03-2012 2100,26.8,26.6
11-03-2012 2200,26.6,26.9
11-03-2012 2300,25.9,27.1
11-04-2012 0000,25.6,27.2
11-04-2012 0100,25.4,27.2
11-04-2012 0200,25.3,27.1
11-04-2012 0300,25,27
11-04-2012 0400,23,26.9
11-04-2012 0500,22.8,26.8
11-04-2012 0600,22.4,26.6
11-04-2012 0700,22.8,26.4
11-04-2012 0800,22.9,26.2
11-04-2012 0900,23.4,26.1
11-04-2012 1000,23.3,25.9
11-04-2012 1100,23.2,25.7
11-04-2012 1200,23.3,25.6
11-04-2012 1300,23.4,25.5
11-04-2012 1400,22.4,25.4
11-04-2012 1500,21.7,25.3
11-04-2012 1600,23.9,25.3
11-04-2012 1700,24.8,25.4
11-04-2012 1800,25.7,25.6
11-04-2012 1900,26.7,25.9
11-04-2012 2000,26.2,26.3
11-04-2012 2100,24.7,26.6
11-04-2012 2200,24,26.8
11-04-2012 2300,23.8,26.9
11-05-2012 0000,23.9,26.9
11-05-2012 0100,23.9,26.8
11-05-2012 0200,23.7,26.8
11-05-2012 0300,23.4,26.7
11-05-2012 0400,23.5,26.5
11-05-2012 0500,23.4,26.4
11-05-2012 0600,23.2,26.3
11-05-2012 0700,23.4,26.2
11-05-2012 0800,23.8,26
11-05-2012 0900,23.4,25.9
11-05-2012 1000,21.7,25.8
11-05-2012 1100,21.2,25.7
11-05-2012 1200,20.7,25.6
11-05-2012 1300,20.9,25.5
11-05-2012 1400,21.5,25.4
11-05-2012 1500,22.3,25.3
11-05-2012 1600,23.3,25.4
11-05-2012 1700,24.7,25.6
11-05-2012 1800,26.1,25.9
11-05-2012 1900,25.8,26.3
11-05-2012 2000,26.4,26.7
11-05-2012 2100,26.2,27.1
11-05-2012 2200,25.8,27.4
11-05-2012 2300,25.4,27.5
11-06-2012 0000,24.8,27.5
11-06-2012 0100,24.8,27.5
11-06-2012 0200,24.7,27.5
11-06-2012 0300,24.8,27.4
11-06-2012 0400,24.8,27.3
11-06-2012 0500,24.9,27.2
11-06-2012 0600,25.1,27.1
11-06-2012 0700,24.1,26.9
11-06-2012 0800,23.6,26.8
11-06-2012 0900,23.3,26.6
11-06-2012 1000,22.5,26.4
11-06-2012 1100,23.4,26.2
11-06-2012 1200,23.4,26
11-06-2012 1300,23.3,25.7
11-06-2012 1400,23.8,25.5
11-06-2012 1500,23.4,25.3
11-06-2012 1600,23.8,25.1
11-06-2012 1700,24.7,25.1
11-06-2012 1800,24.8,25.2
11-06-2012 1900,24.7,25.4
11-06-2012 2000,24.6,25.7
11-06-2012 2100,24.2,25.9
11-06-2012 2200,23.8,26
11-06-2012 2300,23.6,26
11-07-2012 0000,22.3,26
11-07-2012 0100,22.4,25.9
11-07-2012 0200,21.3,25.8
11-07-2012 0300,21.5,25.6
11-07-2012 0400,21.5,25.4
11-07-2012 0500,21.7,25.2
11-07-2012 0600,21.5,25
11-07-2012 0700,21.7,24.9
11-07-2012 0800,21.6,24.7
11-07-2012 0900,21.7,24.5
11-07-2012 1000,20.5,24.4
11-07-2012 1100,17,24.3
11-07-2012 1200,16.6,24.2
11-07-2012 1300,17.1,24.1
11-07-2012 1400,18.7,23.9
11-07-2012 1500,20.3,23.9
11-07-2012 1600,21.9,24
11-07-2012 1700,24.3,24.2
11-07-2012 1800,25.5,24.5
11-07-2012 1900,25.5,24.8
11-07-2012 2000,25.6,25.1
11-07-2012 2100,24.7,25.4
11-07-2012 2200,24.2,25.6
11-07-2012 2300,23.9,25.7
11-08-2012 0000,23.3,25.8
11-08-2012 0100,23.4,25.7
11-08-2012 0200,23.4,25.5
11-08-2012 0300,23.6,25.3
11-08-2012 0400,23.6,25.1
11-08-2012 0500,23.9,24.9
11-08-2012 0600,23.7,24.7
11-08-2012 0700,23.6,24.5
11-08-2012 0800,23.6,24.3
11-08-2012 0900,23.3,24.1
11-08-2012 1000,23.4,24
11-08-2012 1100,22.2,23.8
11-08-2012 1200,22.4,23.7
11-08-2012 1300,21.7,23.5
11-08-2012 1400,23.3,23.5
11-08-2012 1500,25.1,23.4
11-08-2012 1600,25.4,23.4
11-08-2012 1700,25.6,23.5
11-08-2012 1800,25.7,23.7
11-08-2012 1900,26.1,24.1
11-08-2012 2000,26.1,24.6
11-08-2012 2100,26.1,24.9
11-08-2012 2200,26,25.3
11-08-2012 2300,25.5,25.5
11-09-2012 0000,25.1,25.5
11-09-2012 0100,24.9,25.4
11-09-2012 0200,24.8,25.3
11-09-2012 0300,24.8,25.1
11-09-2012 0400,24.8,24.9
11-09-2012 0500,24.7,24.8
11-09-2012 0600,24.6,24.5
11-09-2012 0700,24.5,24.3
11-09-2012 0800,24.5,24.1
11-09-2012 0900,24.4,23.9
11-09-2012 1000,24.3,23.8
11-09-2012 1100,24.4,23.6
11-09-2012 1200,24.3,23.5
11-09-2012 1300,24.5,23.5
11-09-2012 1400,25,23.4
11-09-2012 1500,25.2,23.5
11-09-2012 1600,25.9,23.5
11-09-2012 1700,26.1,23.7
11-09-2012 1800,26.3,23.9
11-09-2012 1900,26.5,24.1
11-09-2012 2000,26.2,24.4
11-09-2012 2100,26.1,24.8
11-09-2012 2200,26.1,25
11-09-2012 2300,25.6,25.2
11-10-2012 0000,25,25.2
11-10-2012 0100,24.9,25.1
11-10-2012 0200,24.7,25
11-10-2012 0300,24.6,24.8
11-10-2012 0400,24.6,24.7
11-10-2012 0500,24.7,24.5
11-10-2012 0600,24.7,24.3
11-10-2012 0700,24.6,24
11-10-2012 0800,24.4,23.9
11-10-2012 0900,24.4,23.7
11-10-2012 1000,24.3,23.5
11-10-2012 1100,24.3,23.4
11-10-2012 1200,24.4,23.3
11-10-2012 1300,24.5,23.2
11-10-2012 1400,25.3,23.1
11-10-2012 1500,25.5,23.2
11-10-2012 1600,25.8,23.3
11-10-2012 1700,26.3,23.4
11-10-2012 1800,26.1,23.6
11-10-2012 1900,26.2,23.9
11-10-2012 2000,26,24.1
11-10-2012 2100,26.1,24.3
11-10-2012 2200,26.3,24.4
11-10-2012 2300,25.7,24.4
11-11-2012 0000,25.4,24.4
11-11-2012 0100,25.4,24.3
11-11-2012 0200,25.4,24.2
11-11-2012 0300,25.2,24.1
11-11-2012 0400,25.2,24
11-11-2012 0500,25.2,23.9
11-11-2012 0600,25.2,23.8
11-11-2012 0700,25.1,23.7
11-11-2012 0800,24.9,23.6
11-11-2012 0900,25,23.5
11-11-2012 1000,25,23.5
11-11-2012 1100,25.3,23.5
11-11-2012 1200,25.5,23.5
11-11-2012 1300,25.5,23.5
11-11-2012 1400,25.6,23.6
11-11-2012 1500,25.8,23.6
11-11-2012 1600,26.2,23.8
11-11-2012 1700,26.6,23.9
11-11-2012 1800,26.7,24.1
11-11-2012 1900,26.8,24.4
11-11-2012 2000,27,24.7
11-11-2012 2100,26.7,25
11-11-2012 2200,26.4,25.1
11-11-2012 2300,26.1,25.3
11-12-2012 0000,25.7,25.3
11-12-2012 0100,25.6,25.2
11-12-2012 0200,25.5,25.1
11-12-2012 0300,25.3,25
11-12-2012 0400,25.2,25
11-12-2012 0500,24.8,24.9
11-12-2012 0600,24.3,24.7
11-12-2012 0700,24,24.7
11-12-2012 0800,21.4,24.6
11-12-2012 0900,20.9,24.6
11-12-2012 1000,20.9,24.4
11-12-2012 1100,20.2,24
11-12-2012 1200,19.5,23.6
11-12-2012 1300,18.5,23.2
11-12-2012 1400,18.2,22.7
11-12-2012 1500,18.5,22.3
11-12-2012 1600,18,22
11-12-2012 1700,17.9,21.8
11-12-2012 1800,18.1,21.8
11-12-2012 1900,18.6,21.6
11-12-2012 2000,18.5,21.5
11-12-2012 2100,18.4,21.4
11-12-2012 2200,18.8,21.4
11-12-2012 2300,19.1,21.3
11-13-2012 0000,19,21
11-13-2012 0100,19,20.9
11-13-2012 0200,18.4,20.7
11-13-2012 0300,17.9,20.4
11-13-2012 0400,17,20.1
11-13-2012 0500,16.4,19.6
11-13-2012 0600,15.8,19.4
11-13-2012 0700,15.5,19.1
11-13-2012 0800,15.2,18.8
11-13-2012 0900,15.4,18.6
11-13-2012 1000,15,18.8
11-13-2012 1100,15.5,18.8
11-13-2012 1200,15.1,18.7
11-13-2012 1300,15.6,18.6
11-13-2012 1400,15.9,18.5
11-13-2012 1500,15.7,18.6
11-13-2012 1600,15.6,18.5
11-13-2012 1700,16.3,18.4
11-13-2012 1800,16.5,18.4
11-13-2012 1900,16.5,18.6
11-13-2012 2000,16.5,18.7
11-13-2012 2100,17.2,18.7
11-13-2012 2200,17.1,18.6
11-13-2012 2300,15.2,18.5
11-14-2012 0000,15.6,18.4
11-14-2012 0100,15.9,18.2
11-14-2012 0200,16.1,18.1
11-14-2012 0300,15.3,17.9
11-14-2012 0400,15.3,17.7
11-14-2012 0500,15.6,17.4
11-14-2012 0600,15.2,17.2
11-14-2012 0700,15.2,17
11-14-2012 0800,15.8,16.9
11-14-2012 0900,15.9,16.8
11-14-2012 1000,15.3,16.8
11-14-2012 1100,14.7,16.8
11-14-2012 1200,14.8,16.7
11-14-2012 1300,15,16.7
11-14-2012 1400,15,16.7
11-14-2012 1500,15.2,16.8
11-14-2012 1600,15.5,17
11-14-2012 1700,15.6,17
11-14-2012 1800,15.4,17.4
11-14-2012 1900,15.4,17.7
11-14-2012 2000,15.7,17.9
11-14-2012 2100,15.9,18.1
11-14-2012 2200,16,18.1
11-14-2012 2300,16.3,18
11-15-2012 0000,16.3,17.9
11-15-2012 0100,16.4,17.7
11-15-2012 0200,16.5,17.6
11-15-2012 0300,16.5,17.5
11-15-2012 0400,16.5,17.4
11-15-2012 0500,15.8,17.2
11-15-2012 0600,15.8,17.2
11-15-2012 0700,16,17.1
11-15-2012 0800,15.8,17.1
11-15-2012 0900,16.1,17
11-15-2012 1000,16.1,17
11-15-2012 1100,16.2,16.8
11-15-2012 1200,16.4,16.8
11-15-2012 1300,16.3,16.7
11-15-2012 1400,15.9,16.7
11-15-2012 1500,15.6,16.7
11-15-2012 1600,15.8,16.6
11-15-2012 1700,16.2,16.6
11-15-2012 1800,17.1,16.7
11-15-2012 1900,18.2,16.8
11-15-2012 2000,17.9,17
11-15-2012 2100,18.6,17.1
11-15-2012 2200,18.5,17.2
11-15-2012 2300,17.7,17.2
11-16-2012 0000,19.8,17.3
11-16-2012 0100,20.1,17.3
11-16-2012 0200,20.4,17.4
11-16-2012 0300,20,17.4
11-16-2012 0400,20,17.4
11-16-2012 0500,19.6,17.4
11-16-2012 0600,19.5,17.5
11-16-2012 0700,19.6,17.5
11-16-2012 0800,19.4,17.5
11-16-2012 0900,19.5,17.5
11-16-2012 1000,19.2,17.4
11-16-2012 1100,18.9,17.4
11-16-2012 1200,18.5,17.3
11-16-2012 1300,17.5,17.2
11-16-2012 1400,17.1,17.2
11-16-2012 1500,17.1,17.2
11-16-2012 1600,17.2,17.2
11-16-2012 1700,17,17.4
11-16-2012 1800,18.1,17.7
11-16-2012 1900,18.3,18.1
11-16-2012 2000,17.9,18.3
11-16-2012 2100,17.9,18.4
11-16-2012 2200,17.6,18.4
11-16-2012 2300,17.9,18.4
11-17-2012 0000,17.4,18.4
11-17-2012 0100,17.4,18.3
11-17-2012 0200,17.1,18.2
11-17-2012 0300,17.4,18.1
11-17-2012 0400,16,18
11-17-2012 0500,16.4,17.9
11-17-2012 0600,15.8,17.8
11-17-2012 0700,17,17.6
11-17-2012 0800,15.4,17.5
11-17-2012 0900,15.8,17.3
11-17-2012 1000,16.1,17.2
11-17-2012 1100,16.2,17.2
11-17-2012 1200,15.8,17.1
11-17-2012 1300,15.2,17
11-17-2012 1400,15.9,16.9
11-17-2012 1500,16.3,16.9
11-17-2012 1600,16.7,17.1
11-17-2012 1700,17,17.4
11-17-2012 1800,17.5,17.8
11-17-2012 1900,19,18.1
11-17-2012 2000,19.7,18.4
11-17-2012 2100,20,19
11-17-2012 2200,20.2,19.2
11-17-2012 2300,20,19.3
11-18-2012 0000,18.8,19.3
11-18-2012 0100,18.4,19.4
11-18-2012 0200,18.3,19.3
11-18-2012 0300,17.7,19.3
11-18-2012 0400,17.5,19.2
11-18-2012 0500,17.6,19
11-18-2012 0600,18.1,18.8
11-18-2012 0700,18,18.6
11-18-2012 0800,17.7,18.4
11-18-2012 0900,17.5,18.3
11-18-2012 1000,17.2,18.2
11-18-2012 1100,17.1,18.1
11-18-2012 1200,17.7,18
11-18-2012 1300,17.3,17.9
11-18-2012 1400,18.3,18
11-18-2012 1500,20.9,18.1
11-18-2012 1600,21.9,18.3
11-18-2012 1700,22.2,18.5
11-18-2012 1800,22.6,18.8
11-18-2012 1900,22.7,19.1
11-18-2012 2000,22.5,19.5
11-18-2012 2100,22.6,19.9
11-18-2012 2200,22.6,20.1
11-18-2012 2300,22.1,20.2
11-19-2012 0000,20.3,20.4
11-19-2012 0100,19.7,20.5
11-19-2012 0200,19.6,20.3
11-19-2012 0300,19,20.1
11-19-2012 0400,19.4,19.9
11-19-2012 0500,19.2,19.8
11-19-2012 0600,19.1,19.7
11-19-2012 0700,19.5,19.6
11-19-2012 0800,19.6,19.5
11-19-2012 0900,19.6,19.4
11-19-2012 1000,19.2,19.3
11-19-2012 1100,19.1,19.2
11-19-2012 1200,18.9,19.1
11-19-2012 1300,19,19.1
11-19-2012 1400,21.1,19.1
11-19-2012 1500,21.6,19.2
11-19-2012 1600,22.4,19.3
11-19-2012 1700,22.5,19.6
11-19-2012 1800,22.6,19.8
11-19-2012 1900,22.8,20.6
11-19-2012 2000,22.6,20.8
11-19-2012 2100,22.6,21.1
11-19-2012 2200,22.4,21.5
11-19-2012 2300,22.1,21.7
11-20-2012 0000,21,21.8
11-20-2012 0100,20.5,21.8
11-20-2012 0200,20.5,21.6
11-20-2012 0300,20.2,21.4
11-20-2012 0400,20.3,21.2
11-20-2012 0500,19.9,21.1
11-20-2012 0600,19.8,21
11-20-2012 0700,19.8,20.9
11-20-2012 0800,19.6,20.8
11-20-2012 0900,19,20.7
11-20-2012 1000,18.7,20.5
11-20-2012 1100,18.8,20.4
11-20-2012 1200,18.7,20.4
11-20-2012 1300,18.9,20.3
11-20-2012 1400,19.2,20.3
11-20-2012 1500,19.6,20.4
11-20-2012 1600,20.1,20.6
11-20-2012 1700,21,21
11-20-2012 1800,21.9,21.4
11-20-2012 1900,22.6,21.8
11-20-2012 2000,22.8,22.1
11-20-2012 2100,22.2,22.2
11-20-2012 2200,22.1,22.4
11-20-2012 2300,22,22.5
11-21-2012 0000,20.8,22.5
11-21-2012 0100,20.8,22.2
11-21-2012 0200,20.6,22.1
11-21-2012 0300,20.2,21.9
11-21-2012 0400,20.1,21.8
11-21-2012 0500,20.1,21.6
11-21-2012 0600,19.9,21.5
11-21-2012 0700,19.8,21.5
11-21-2012 0800,19.8,21.3
11-21-2012 0900,19.6,21.2
11-21-2012 1000,19.9,21
11-21-2012 1100,19.7,21
11-21-2012 1200,18.8,20.9
11-21-2012 1300,18.8,20.8
11-21-2012 1400,18.8,20.8
11-21-2012 1500,19.8,20.9
11-21-2012 1600,21.9,21.1
11-21-2012 1700,22.8,21.4
11-21-2012 1800,23.1,21.8
11-21-2012 1900,23.2,22.2
11-21-2012 2000,22.9,22.5
11-21-2012 2100,23,22.9
11-21-2012 2200,22.5,23.1
11-21-2012 2300,21.8,23.2
11-22-2012 0000,21.2,23.2
11-22-2012 0100,20.8,23.2
11-22-2012 0200,21.2,23.1
11-22-2012 0300,20.3,23
11-22-2012 0400,20.2,22.7
11-22-2012 0500,20.2,22.5
11-22-2012 0600,20,22.3
11-22-2012 0700,19.9,22.2
11-22-2012 0800,19.9,22.1
11-22-2012 0900,19.7,22
11-22-2012 1000,19.9,21.8
11-22-2012 1100,19.6,21.7
11-22-2012 1200,19.6,21.6
11-22-2012 1300,19.9,21.6
11-22-2012 1400,20.5,21.5
11-22-2012 1500,22.8,21.6
11-22-2012 1600,23.8,21.7
11-22-2012 1700,23.6,22
11-22-2012 1800,23.9,22.3
11-22-2012 1900,24,22.6
11-22-2012 2000,24.2,22.9
11-22-2012 2100,24,23.2
11-22-2012 2200,23.7,23.3
11-22-2012 2300,23.1,23.4
11-23-2012 0000,22.7,23.3
11-23-2012 0100,22.7,23.3
11-23-2012 0200,22.6,23.2
11-23-2012 0300,22.6,23.2
11-23-2012 0400,22.5,23.1
11-23-2012 0500,22.3,23
11-23-2012 0600,21.9,22.9
11-23-2012 0700,21.7,22.8
11-23-2012 0800,21.3,22.7
11-23-2012 0900,21.3,22.6
11-23-2012 1000,21.7,22.5
11-23-2012 1100,21.8,22.5
11-23-2012 1200,21.8,22.4
11-23-2012 1300,22,22.4
11-23-2012 1400,22.5,22.4
11-23-2012 1500,23.8,22.5
11-23-2012 1600,24,22.5
11-23-2012 1700,24.3,22.6
11-23-2012 1800,24.6,22.7
11-23-2012 1900,24.7,22.8
11-23-2012 2000,24.9,23
11-23-2012 2100,24.9,23.3
11-23-2012 2200,24.3,23.6
11-23-2012 2300,23.3,23.7
11-24-2012 0000,22.5,23.8
11-24-2012 0100,22.6,23.8
11-24-2012 0200,22.3,23.7
11-24-2012 0300,21.4,23.6
11-24-2012 0400,21.1,23.5
11-24-2012 0500,20.3,23.4
11-24-2012 0600,20.5,23.4
11-24-2012 0700,19.9,23.3
11-24-2012 0800,19.3,23.1
11-24-2012 0900,18.8,22.7
11-24-2012 1000,18.3,22.4
11-24-2012 1100,18.5,22.1
11-24-2012 1200,17.7,21.8
11-24-2012 1300,17,21.6
11-24-2012 1400,16.4,21.2
11-24-2012 1500,15.7,20.8
11-24-2012 1600,15.3,20.4
11-24-2012 1700,15.2,20.2
11-24-2012 1800,15.7,20
11-24-2012 1900,16.5,20.2
11-24-2012 2000,16.7,20.4
11-24-2012 2100,17.5,20.7
11-24-2012 2200,18,20.8
11-24-2012 2300,17.7,20.8
11-25-2012 0000,17,20.7
11-25-2012 0100,17,20.5
11-25-2012 0200,16.9,20.4
11-25-2012 0300,17.1,20.3
11-25-2012 0400,17.3,20.1
11-25-2012 0500,17.3,20.1
11-25-2012 0600,17.3,19.9
11-25-2012 0700,14.7,19.7
11-25-2012 0800,14.5,19.5
11-25-2012 0900,14.3,19.4
11-25-2012 1000,14,19.1
11-25-2012 1100,14.1,18.9
11-25-2012 1200,14.7,18.7
11-25-2012 1300,16,18.6
11-25-2012 1400,16.2,18.6
11-25-2012 1500,16.2,18.6
11-25-2012 1600,17.9,18.7
11-25-2012 1700,20.8,19.1
11-25-2012 1800,21.1,19.4
11-25-2012 1900,21.5,19.6
11-25-2012 2000,21.8,19.9
11-25-2012 2100,22.3,20.3
11-25-2012 2200,22.6,20.6
11-25-2012 2300,22.3,20.7
11-26-2012 0000,21.2,20.8
11-26-2012 0100,21.2,20.9
11-26-2012 0200,20.9,20.8
11-26-2012 0300,21.5,20.7
11-26-2012 0400,21.1,20.7
11-26-2012 0500,21.1,20.7
11-26-2012 0600,20.2,20.6
11-26-2012 0700,19.9,20.5
11-26-2012 0800,20.5,20.5
11-26-2012 0900,20.7,20.4
11-26-2012 1000,20.2,20.4
11-26-2012 1100,19.9,20.4
11-26-2012 1200,20,20.4
11-26-2012 1300,19.9,20.4
11-26-2012 1400,20.4,20.3
11-26-2012 1500,22.2,20.4
11-26-2012 1600,21.2,20.7
11-26-2012 1700,23.7,21
11-26-2012 1800,24.4,21.5
11-26-2012 1900,24.4,21.9
11-26-2012 2000,24,22.3
11-26-2012 2100,23.9,22.6
11-26-2012 2200,23.6,22.6
11-26-2012 2300,23.3,22.6
11-27-2012 0000,22.9,22.7
11-27-2012 0100,23.1,22.7
11-27-2012 0200,22.9,22.6
11-27-2012 0300,22.7,22.6
11-27-2012 0400,22.6,22.5
11-27-2012 0500,22.4,22.4
11-27-2012 0600,22.3,22.4
11-27-2012 0700,21.6,22.3
11-27-2012 0800,21.3,22.2
11-27-2012 0900,21.3,22.1
11-27-2012 1000,20.3,22
11-27-2012 1100,19.1,21.9
11-27-2012 1200,18.7,21.7
11-27-2012 1300,17.4,21.5
11-27-2012 1400,16.9,20.9
11-27-2012 1500,16.3,20.7
11-27-2012 1600,15.2,20.7
11-27-2012 1700,15,20.8
11-27-2012 1800,16,20.8
11-27-2012 1900,17.1,20.8
11-27-2012 2000,18.6,21.1
11-27-2012 2100,19.3,21.3
11-27-2012 2200,19.6,21.4
11-27-2012 2300,19.4,21.3
11-28-2012 0000,19.1,21.2
11-28-2012 0100,18.7,21
11-28-2012 0200,17.7,20.7
11-28-2012 0300,17,20.4
11-28-2012 0400,16.2,20.2
11-28-2012 0500,15.7,19.8
11-28-2012 0600,15.2,19.6
11-28-2012 0700,15.6,19.4
11-28-2012 0800,14.6,19.1
11-28-2012 0900,14.4,19
11-28-2012 1000,14.6,18.7
11-28-2012 1100,13.7,18.5
11-28-2012 1200,13.5,18.1
11-28-2012 1300,13.7,17.9
11-28-2012 1400,12.9,17.9
11-28-2012 1500,13.8,18
11-28-2012 1600,14.4,18.2
11-28-2012 1700,15.2,18.6
11-28-2012 1800,16.4,19.1
11-28-2012 1900,16.8,19.4
11-28-2012 2000,17.2,19.7
11-28-2012 2100,18.2,19.8
11-28-2012 2200,18.3,19.8
11-28-2012 2300,18.1,19.8
11-29-2012 0000,17.5,19.8
11-29-2012 0100,17.5,19.7
11-29-2012 0200,17.8,19.6
11-29-2012 0300,18.4,19.5
11-29-2012 0400,18.5,19.5
11-29-2012 0500,18,19.3
11-29-2012 0600,18.4,19.2
11-29-2012 0700,17.9,19
11-29-2012 0800,17.6,18.9
11-29-2012 0900,17.8,18.7
11-29-2012 1000,16.6,18.6
11-29-2012 1100,16.5,18.5
11-29-2012 1200,16.2,18.5
11-29-2012 1300,16.7,18.5
11-29-2012 1400,17.7,18.4
11-29-2012 1500,18.6,18.4
11-29-2012 1600,20.2,18.5
11-29-2012 1700,20.1,18.7
11-29-2012 1800,20.7,18.9
11-29-2012 1900,20.9,19.2
11-29-2012 2000,21.9,19.7
11-29-2012 2100,22.6,20.1
11-29-2012 2200,22.3,20.5
11-29-2012 2300,21.4,20.8
11-30-2012 0000,20.4,20.9
11-30-2012 0100,20.6,21
11-30-2012 0200,20.2,21.1
11-30-2012 0300,20.2,21.2
11-30-2012 0400,20,21.1
11-30-2012 0500,20.2,21
11-30-2012 0600,20.1,20.8
11-30-2012 0700,19.9,20.8
11-30-2012 0800,19.9,20.7
11-30-2012 0900,19.7,20.6
11-30-2012 1000,19.7,20.6
11-30-2012 1100,19.5,20.5
11-30-2012 1200,19.2,20.5
11-30-2012 1300,19.7,20.5
11-30-2012 1400,19.9,20.5
11-30-2012 1500,21.1,20.5
11-30-2012 1600,23.8,20.5
11-30-2012 1700,24.3,20.7
11-30-2012 1800,24.6,21
11-30-2012 1900,24.7,21.3
11-30-2012 2000,24.6,21.6
11-30-2012 2100,24.5,21.8
11-30-2012 2200,24.2,22.1
11-30-2012 2300,23.2,22.3
12-01-2012 0000,22.3,22.4
12-01-2012 0100,22,22.4
12-01-2012 0200,21.9,22.3
12-01-2012 0300,21.9,22.2
12-01-2012 0400,22.3,22.2
12-01-2012 0500,22,22.1
12-01-2012 0600,22.1,22.1
12-01-2012 0700,21.9,22
12-01-2012 0800,21.7,22
12-01-2012 0900,21.6,21.9
12-01-2012 1000,21.3,21.9
12-01-2012 1100,21.3,21.8
12-01-2012 1200,21.3,21.8
12-01-2012 1300,21.4,21.7
12-01-2012 1400,22,21.7
12-01-2012 1500,23,21.7
12-01-2012 1600,23.8,21.9
12-01-2012 1700,24.2,22.2
12-01-2012 1800,24.5,22.4
12-01-2012 1900,24.6,22.7
12-01-2012 2000,24.7,23.1
12-01-2012 2100,24.4,23.5
12-01-2012 2200,24.1,23.7
12-01-2012 2300,23.2,23.8
12-02-2012 0000,22.7,23.8
12-02-2012 0100,22.6,23.8
12-02-2012 0200,22.4,23.7
12-02-2012 0300,22.2,23.6
12-02-2012 0400,22.3,23.4
12-02-2012 0500,22.2,23.3
12-02-2012 0600,21.9,23.1
12-02-2012 0700,21.8,23
12-02-2012 0800,21.7,22.9
12-02-2012 0900,21.7,22.8
12-02-2012 1000,21.4,22.7
12-02-2012 1100,21.1,22.6
12-02-2012 1200,21.1,22.5
12-02-2012 1300,21,22.4
12-02-2012 1400,21.6,22.4
12-02-2012 1500,23.1,22.4
12-02-2012 1600,23.8,22.4
12-02-2012 1700,24.4,22.7
12-02-2012 1800,24.5,23.2
12-02-2012 1900,24.8,23.6
12-02-2012 2000,24.5,24.1
12-02-2012 2100,24.5,24.5
12-02-2012 2200,24,24.5
12-02-2012 2300,23.1,24.5
12-03-2012 0000,22.2,24.4
12-03-2012 0100,22,24.3
12-03-2012 0200,21.9,24.2
12-03-2012 0300,21.8,24.2
12-03-2012 0400,21.7,24.1
12-03-2012 0500,21.8,24
12-03-2012 0600,21.3,23.9
12-03-2012 0700,21.3,23.8
12-03-2012 0800,21.3,23.7
12-03-2012 0900,21.2,23.6
12-03-2012 1000,21,23.5
12-03-2012 1100,20.9,23.4
12-03-2012 1200,20.9,23.3
12-03-2012 1300,20.8,23.1
12-03-2012 1400,21.6,23.1
12-03-2012 1500,22.7,23
12-03-2012 1600,23.6,23
12-03-2012 1700,24.2,23.2
12-03-2012 1800,24.6,23.6
12-03-2012 1900,24.9,23.9
12-03-2012 2000,24.9,24.2
12-03-2012 2100,24.7,24.4
12-03-2012 2200,24.1,24.5
12-03-2012 2300,23,24.6
12-04-2012 0000,22.7,24.6
12-04-2012 0100,22.5,24.6
12-04-2012 0200,22.4,24.5
12-04-2012 0300,22.1,24.4
12-04-2012 0400,21.9,24.3
12-04-2012 0500,21.9,24.1
12-04-2012 0600,22.1,24
12-04-2012 0700,22,24
12-04-2012 0800,21.9,23.9
12-04-2012 0900,21.5,23.8
12-04-2012 1000,21.4,23.7
12-04-2012 1100,21.3,23.6
12-04-2012 1200,21.1,23.5
12-04-2012 1300,21.4,23.5
12-04-2012 1400,21.9,23.5
12-04-2012 1500,22.8,23.4
12-04-2012 1600,23.5,23.4
12-04-2012 1700,23.9,23.5
12-04-2012 1800,25.1,23.6
12-04-2012 1900,25,23.9
12-04-2012 2000,25.9,24.3
12-04-2012 2100,24.5,24.6
12-04-2012 2200,24.2,24.9
12-04-2012 2300,23.6,25.1
12-05-2012 0000,22.6,25.2
12-05-2012 0100,22.5,25.3
12-05-2012 0200,22.9,25.1
12-05-2012 0300,20,24.7
12-05-2012 0400,19.8,24.7
12-05-2012 0500,21.7,24.6
12-05-2012 0600,21.1,24.4
12-05-2012 0700,21.2,24.2
12-05-2012 0800,20.8,24.1
12-05-2012 0900,21.3,24
12-05-2012 1000,20.6,23.9
12-05-2012 1100,20.2,23.6
12-05-2012 1200,19.4,23.4
12-05-2012 1300,18.4,23.3
12-05-2012 1400,17.1,23
12-05-2012 1500,17.2,22.9
12-05-2012 1600,17.5,22.8
12-05-2012 1700,17.6,22.7
12-05-2012 1800,18.5,22.7
12-05-2012 1900,19.8,22.8
12-05-2012 2000,20.8,23.1
12-05-2012 2100,21.6,23.3
12-05-2012 2200,22.3,23.5
